digest,producer,creator,producer_folder,class,pre_path,post_path
"IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R","iText 2.1.4 (by lowagie.com)","-","iText 2.1.4 (by lowagie.com)","iText","output/by_producer/iText 2.1.4 (by lowagie.com)/IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R_pre.pdf","output/by_producer/iText 2.1.4 (by lowagie.com)/IWBFGFBEXBD54JGRHBZM5V2BUAZTRO4R_post.pdf"
"KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W","QuarkXPress(tm) 6.5","QuarkXPress(tm) 6.5","QuarkXPress(tm) 6.5","Unknown","output/by_producer/QuarkXPress(tm) 6.5/KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W_pre.pdf","output/by_producer/QuarkXPress(tm) 6.5/KMUKXIW52KNJ3JJJ2LO5QOW2G6FTJ45W_post.pdf"
"YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI","Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>.","Acrobat Capture 3.0","Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>.","Unknown","output/by_producer/Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>./YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI_pre.pdf","output/by_producer/Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http___www.etymon.com_>./YQZG4CHDFUMUUDUEO2IY3GSWB4YCIKJI_post.pdf"
"MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU","Hewlett-Packard Intelligent Scanning Technology 3","-","Hewlett-Packard Intelligent Scanning Technology 3","Capture_Scan_Plugins","output/by_producer/Hewlett-Packard Intelligent Scanning Technology 3/MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU_pre.pdf","output/by_producer/Hewlett-Packard Intelligent Scanning Technology 3/MILX4ZNQNYZNUWXL5SKQBFS2TJFYYSGU_post.pdf"
"64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7","Acrobat Distiller 5.0 (Windows)","Adobe Illustrator(R) 8.0","Acrobat Distiller 5.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 5.0 (Windows)/64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7_pre.pdf","output/by_producer/Acrobat Distiller 5.0 (Windows)/64PJRWTXR43NVMTQCZGEFDUZA3JMJTD7_post.pdf"
"7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M","Acrobat Distiller 8.0.0 (Windows)","PScript5.dll Version 5.2.2","Acrobat Distiller 8.0.0 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M_pre.pdf","output/by_producer/Acrobat Distiller 8.0.0 (Windows)/7CIFOV7XZXS6EHUFYZF6H3NCN637PI2M_post.pdf"
"D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/D2FRDPDTXJKVTJKEBESWUWBYZDJRBNAI_post.pdf"
"GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/GFZKIRYHHR2NZTPACKJY5MTG5X3CYGEX_post.pdf"
"6REZDVWAZINCN3EC63464SLUVI2QJHJW","Acrobat Distiller 7.0.5 (Windows)","FrameMaker 7.1","Acrobat Distiller 7.0.5 (Windows)","Acrobat_Distiller","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/6REZDVWAZINCN3EC63464SLUVI2QJHJW_pre.pdf","output/by_producer/Acrobat Distiller 7.0.5 (Windows)/6REZDVWAZINCN3EC63464SLUVI2QJHJW_post.pdf"
"AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT","Adobe PDF Library 5.0.5","HP PDF Formatter version 3.2.0.1100","Adobe PDF Library 5.0.5","Adobe_PDF_Library","output/by_producer/Adobe PDF Library 5.0.5/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT_pre.pdf","output/by_producer/Adobe PDF Library 5.0.5/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT_post.pdf"
